minbound,shape,unit
-36,13,12
-120,13,12
0,4,12

IX,IY,IZ,value
0,0,0,0.344156
0,0,1,0.597403
0,0,2,0.746753
0,0,3,0.896104
0,1,0,0.279221
0,1,1,0.636364
0,1,2,0.818182
0,1,3,0.961039
0,2,0,0.558442
0,2,1,0.551948
0,2,2,0.863636
0,2,3,0.974026
0,3,0,0.571429
0,3,1,0.779221
0,3,2,0.902597
0,3,3,0.987013
0,4,0,0.668831
0,4,1,0.805195
0,4,2,0.941558
0,4,3,1
0,5,0,0.694805
0,5,1,0.837662
0,5,2,0.967532
0,5,3,1
0,6,0,0.688312
0,6,1,0.857143
0,6,2,0.967532
0,6,3,1
0,7,0,0.701299
0,7,1,0.876623
0,7,2,0.974026
0,7,3,1
0,8,0,0.655844
0,8,1,0.87013
0,8,2,0.993506
0,8,3,1
0,9,0,0.448052
0,9,1,0.616883
0,9,2,0.993506
0,9,3,1
0,10,0,0.266234
0,10,1,0.655844
0,10,2,0.993506
0,10,3,1
0,11,0,0.233766
0,11,1,0.694805
0,11,2,1
0,11,3,1
0,12,0,0.246753
0,12,1,0.733766
0,12,2,1
0,12,3,1
1,0,0,0.25974
1,0,1,0.519481
1,0,2,0.681818
1,0,3,0.857143
1,1,0,0.298701
1,1,1,0.675325
1,1,2,0.772727
1,1,3,0.928571
1,2,0,0.577922
1,2,1,0.707792
1,2,2,0.844156
1,2,3,0.967532
1,3,0,0.519481
1,3,1,0.707792
1,3,2,0.896104
1,3,3,0.980519
1,4,0,0.623377
1,4,1,0.772727
1,4,2,0.909091
1,4,3,0.980519
1,5,0,0.675325
1,5,1,0.818182
1,5,2,0.941558
1,5,3,0.980519
1,6,0,0.681818
1,6,1,0.844156
1,6,2,0.941558
1,6,3,0.993506
1,7,0,0.681818
1,7,1,0.87013
1,7,2,0.954545
1,7,3,1
1,8,0,0.675325
1,8,1,0.87013
1,8,2,0.974026
1,8,3,1
1,9,0,0.493506
1,9,1,0
1,9,2,0.980519
1,9,3,1
1,10,0,0.103896
1,10,1,0
1,10,2,0.980519
1,10,3,1
1,11,0,0.0454545
1,11,1,0
1,11,2,0.987013
1,11,3,1
1,12,0,0.0584416
1,12,1,0
1,12,2,0.987013
1,12,3,1
2,0,0,0.233766
2,0,1,0.493506
2,0,2,0.655844
2,0,3,0.857143
2,1,0,0.318182
2,1,1,0.62987
2,1,2,0.746753
2,1,3,0.928571
2,2,0,0.558442
2,2,1,0.701299
2,2,2,0.818182
2,2,3,0.961039
2,3,0,0.584416
2,3,1,0.720779
2,3,2,0.876623
2,3,3,0.967532
2,4,0,0.61039
2,4,1,0.779221
2,4,2,0.902597
2,4,3,0.974026
2,5,0,0.642857
2,5,1,0.798701
2,5,2,0.928571
2,5,3,0.974026
2,6,0,0.675325
2,6,1,0.831169
2,6,2,0.935065
2,6,3,0.993506
2,7,0,0.688312
2,7,1,0.850649
2,7,2,0.961039
2,7,3,1
2,8,0,0.681818
2,8,1,0.857143
2,8,2,0.974026
2,8,3,1
2,9,0,0.487013
2,9,1,0.87013
2,9,2,0.974026
2,9,3,1
2,10,0,0.0324675
2,10,1,0.844156
2,10,2,0.974026
2,10,3,1
2,11,0,0.0519481
2,11,1,0.831169
2,11,2,0.980519
2,11,3,1
2,12,0,0.376623
2,12,1,0.844156
2,12,2,0.980519
2,12,3,1
3,0,0,0.233766
3,0,1,0.467532
3,0,2,0.623377
3,0,3,0.844156
3,1,0,0.350649
3,1,1,0.597403
3,1,2,0.727273
3,1,3,0.922078
3,2,0,0.551948
3,2,1,0.707792
3,2,2,0.818182
3,2,3,0.954545
3,3,0,0.61039
3,3,1,0.74026
3,3,2,0.863636
3,3,3,0.967532
3,4,0,0.62987
3,4,1,0.766234
3,4,2,0.896104
3,4,3,0.967532
3,5,0,0.649351
3,5,1,0.785714
3,5,2,0.922078
3,5,3,0.967532
3,6,0,0.668831
3,6,1,0.824675
3,6,2,0.935065
3,6,3,0.987013
3,7,0,0.681818
3,7,1,0.844156
3,7,2,0.954545
3,7,3,1
3,8,0,0.668831
3,8,1,0.857143
3,8,2,0.967532
3,8,3,1
3,9,0,0.551948
3,9,1,0.857143
3,9,2,0.967532
3,9,3,1
3,10,0,0.00649351
3,10,1,0.857143
3,10,2,0.974026
3,10,3,1
3,11,0,0.00649351
3,11,1,0.863636
3,11,2,0.980519
3,11,3,1
3,12,0,0.383117
3,12,1,0.850649
3,12,2,0.980519
3,12,3,1
4,0,0,0.246753
4,0,1,0.487013
4,0,2,0.62987
4,0,3,0.850649
4,1,0,0.350649
4,1,1,0.616883
4,1,2,0.746753
4,1,3,0.915584
4,2,0,0.558442
4,2,1,0.707792
4,2,2,0.805195
4,2,3,0.954545
4,3,0,0.616883
4,3,1,0.727273
4,3,2,0.863636
4,3,3,0.961039
4,4,0,0.616883
4,4,1,0.753247
4,4,2,0.88961
4,4,3,0.961039
4,5,0,0.668831
4,5,1,0.798701
4,5,2,0.915584
4,5,3,0.967532
4,6,0,0.675325
4,6,1,0.824675
4,6,2,0.928571
4,6,3,0.987013
4,7,0,0.694805
4,7,1,0.824675
4,7,2,0.948052
4,7,3,1
4,8,0,0.681818
4,8,1,0.850649
4,8,2,0.967532
4,8,3,1
4,9,0,0.61039
4,9,1,0.844156
4,9,2,0.967532
4,9,3,1
4,10,0,0.383117
4,10,1,0.844156
4,10,2,0.967532
4,10,3,1
4,11,0,0.383117
4,11,1,0.844156
4,11,2,0.974026
4,11,3,1
4,12,0,0.448052
4,12,1,0.818182
4,12,2,0.974026
4,12,3,1
5,0,0,0.266234
5,0,1,0.487013
5,0,2,0.616883
5,0,3,0.857143
5,1,0,0.383117
5,1,1,0.616883
5,1,2,0.74026
5,1,3,0.909091
5,2,0,0.551948
5,2,1,0.694805
5,2,2,0.805195
5,2,3,0.954545
5,3,0,0.603896
5,3,1,0.720779
5,3,2,0.850649
5,3,3,0.954545
5,4,0,0.636364
5,4,1,0.766234
5,4,2,0.883117
5,4,3,0.961039
5,5,0,0.675325
5,5,1,0.805195
5,5,2,0.909091
5,5,3,0.967532
5,6,0,0.694805
5,6,1,0.831169
5,6,2,0.928571
5,6,3,0.987013
5,7,0,0.701299
5,7,1,0.824675
5,7,2,0.948052
5,7,3,1
5,8,0,0.714286
5,8,1,0.87013
5,8,2,0.961039
5,8,3,1
5,9,0,0.564935
5,9,1,0.850649
5,9,2,0.961039
5,9,3,1
5,10,0,0.0649351
5,10,1,0.844156
5,10,2,0.967532
5,10,3,1
5,11,0,0.0779221
5,11,1,0.831169
5,11,2,0.974026
5,11,3,1
5,12,0,0.448052
5,12,1,0.753247
5,12,2,0.974026
5,12,3,1
6,0,0,0.227273
6,0,1,0.5
6,0,2,0.636364
6,0,3,0.863636
6,1,0,0.396104
6,1,1,0.603896
6,1,2,0.733766
6,1,3,0.909091
6,2,0,0.551948
6,2,1,0.688312
6,2,2,0.805195
6,2,3,0.948052
6,3,0,0.597403
6,3,1,0.74026
6,3,2,0.857143
6,3,3,0.954545
6,4,0,0.649351
6,4,1,0.753247
6,4,2,0.88961
6,4,3,0.961039
6,5,0,0.662338
6,5,1,0.798701
6,5,2,0.902597
6,5,3,0.967532
6,6,0,0.681818
6,6,1,0.831169
6,6,2,0.922078
6,6,3,0.987013
6,7,0,0.701299
6,7,1,0.837662
6,7,2,0.941558
6,7,3,1
6,8,0,0.720779
6,8,1,0.883117
6,8,2,0.961039
6,8,3,1
6,9,0,0.733766
6,9,1,0.88961
6,9,2,0.961039
6,9,3,1
6,10,0,0.428571
6,10,1,0.87013
6,10,2,0.961039
6,10,3,1
6,11,0,0.428571
6,11,1,0.857143
6,11,2,0.967532
6,11,3,1
6,12,0,0.519481
6,12,1,0.746753
6,12,2,0.974026
6,12,3,1
7,0,0,0.188312
7,0,1,0.512987
7,0,2,0.636364
7,0,3,0.857143
7,1,0,0.402597
7,1,1,0.61039
7,1,2,0.74026
7,1,3,0.909091
7,2,0,0.571429
7,2,1,0.688312
7,2,2,0.805195
7,2,3,0.948052
7,3,0,0.61039
7,3,1,0.74026
7,3,2,0.850649
7,3,3,0.948052
7,4,0,0.62987
7,4,1,0.753247
7,4,2,0.88961
7,4,3,0.961039
7,5,0,0.662338
7,5,1,0.798701
7,5,2,0.902597
7,5,3,0.967532
7,6,0,0.675325
7,6,1,0.831169
7,6,2,0.915584
7,6,3,0.993506
7,7,0,0.714286
7,7,1,0.824675
7,7,2,0.941558
7,7,3,1
7,8,0,0.727273
7,8,1,0.857143
7,8,2,0.948052
7,8,3,1
7,9,0,0.727273
7,9,1,0.876623
7,9,2,0.961039
7,9,3,1
7,10,0,0.636364
7,10,1,0.87013
7,10,2,0.961039
7,10,3,1
7,11,0,0.616883
7,11,1,0.87013
7,11,2,0.967532
7,11,3,1
7,12,0,0.584416
7,12,1,0.88961
7,12,2,0.967532
7,12,3,1
8,0,0,0.136364
8,0,1,0.525974
8,0,2,0.649351
8,0,3,0.863636
8,1,0,0.415584
8,1,1,0.62987
8,1,2,0.75974
8,1,3,0.915584
8,2,0,0.577922
8,2,1,0.681818
8,2,2,0.805195
8,2,3,0.948052
8,3,0,0.603896
8,3,1,0.720779
8,3,2,0.837662
8,3,3,0.948052
8,4,0,0.636364
8,4,1,0.746753
8,4,2,0.896104
8,4,3,0.961039
8,5,0,0.662338
8,5,1,0.792208
8,5,2,0.902597
8,5,3,0.967532
8,6,0,0.681818
8,6,1,0.811688
8,6,2,0.922078
8,6,3,0.993506
8,7,0,0.707792
8,7,1,0.837662
8,7,2,0.941558
8,7,3,1
8,8,0,0.733766
8,8,1,0.850649
8,8,2,0.948052
8,8,3,1
8,9,0,0.727273
8,9,1,0.876623
8,9,2,0.954545
8,9,3,1
8,10,0,0.701299
8,10,1,0.863636
8,10,2,0.967532
8,10,3,1
8,11,0,0.675325
8,11,1,0.87013
8,11,2,0.967532
8,11,3,1
8,12,0,0.623377
8,12,1,0.876623
8,12,2,0.967532
8,12,3,1
9,0,0,0.142857
9,0,1,0.525974
9,0,2,0.662338
9,0,3,0.863636
9,1,0,0.422078
9,1,1,0.62987
9,1,2,0.766234
9,1,3,0.915584
9,2,0,0.571429
9,2,1,0.701299
9,2,2,0.824675
9,2,3,0.948052
9,3,0,0.577922
9,3,1,0.714286
9,3,2,0.837662
9,3,3,0.948052
9,4,0,0.597403
9,4,1,0.772727
9,4,2,0.88961
9,4,3,0.961039
9,5,0,0.649351
9,5,1,0.779221
9,5,2,0.902597
9,5,3,0.967532
9,6,0,0.681818
9,6,1,0.805195
9,6,2,0.915584
9,6,3,0.993506
9,7,0,0.675325
9,7,1,0.844156
9,7,2,0.941558
9,7,3,1
9,8,0,0.720779
9,8,1,0.837662
9,8,2,0.941558
9,8,3,1
9,9,0,0.727273
9,9,1,0.857143
9,9,2,0.954545
9,9,3,1
9,10,0,0.694805
9,10,1,0.844156
9,10,2,0.961039
9,10,3,1
9,11,0,0.688312
9,11,1,0.850649
9,11,2,0.948052
9,11,3,1
9,12,0,0.642857
9,12,1,0.876623
9,12,2,0.967532
9,12,3,1
10,0,0,0.0909091
10,0,1,0.506494
10,0,2,0.688312
10,0,3,0.876623
10,1,0,0.409091
10,1,1,0.616883
10,1,2,0.75974
10,1,3,0.915584
10,2,0,0.538961
10,2,1,0.668831
10,2,2,0.831169
10,2,3,0.948052
10,3,0,0.551948
10,3,1,0.701299
10,3,2,0.844156
10,3,3,0.948052
10,4,0,0.564935
10,4,1,0.75974
10,4,2,0.876623
10,4,3,0.961039
10,5,0,0.616883
10,5,1,0.772727
10,5,2,0.896104
10,5,3,0.974026
10,6,0,0.636364
10,6,1,0.818182
10,6,2,0.902597
10,6,3,0.993506
10,7,0,0.662338
10,7,1,0.844156
10,7,2,0.928571
10,7,3,1
10,8,0,0.681818
10,8,1,0.824675
10,8,2,0.941558
10,8,3,1
10,9,0,0.707792
10,9,1,0.831169
10,9,2,0.948052
10,9,3,1
10,10,0,0.727273
10,10,1,0.844156
10,10,2,0.961039
10,10,3,1
10,11,0,0.694805
10,11,1,0.87013
10,11,2,0.948052
10,11,3,1
10,12,0,0.636364
10,12,1,0.876623
10,12,2,0.948052
10,12,3,1
11,0,0,0.0974026
11,0,1,0.538961
11,0,2,0.707792
11,0,3,0.88961
11,1,0,0.409091
11,1,1,0.61039
11,1,2,0.779221
11,1,3,0.928571
11,2,0,0.350649
11,2,1,0.623377
11,2,2,0.831169
11,2,3,0.948052
11,3,0,0.506494
11,3,1,0.714286
11,3,2,0.87013
11,3,3,0.948052
11,4,0,0.571429
11,4,1,0.714286
11,4,2,0.876623
11,4,3,0.961039
11,5,0,0.590909
11,5,1,0.753247
11,5,2,0.883117
11,5,3,0.974026
11,6,0,0.597403
11,6,1,0.811688
11,6,2,0.915584
11,6,3,0.993506
11,7,0,0.616883
11,7,1,0.831169
11,7,2,0.928571
11,7,3,1
11,8,0,0.642857
11,8,1,0.831169
11,8,2,0.941558
11,8,3,1
11,9,0,0.675325
11,9,1,0.831169
11,9,2,0.948052
11,9,3,1
11,10,0,0.681818
11,10,1,0.844156
11,10,2,0.948052
11,10,3,1
11,11,0,0.688312
11,11,1,0.883117
11,11,2,0.948052
11,11,3,1
11,12,0,0.62987
11,12,1,0.896104
11,12,2,0.954545
11,12,3,1
12,0,0,0.220779
12,0,1,0.519481
12,0,2,0.701299
12,0,3,0.896104
12,1,0,0.376623
12,1,1,0.61039
12,1,2,0.779221
12,1,3,0.935065
12,2,0,0.331169
12,2,1,0.662338
12,2,2,0.824675
12,2,3,0.941558
12,3,0,0.422078
12,3,1,0.675325
12,3,2,0.87013
12,3,3,0.948052
12,4,0,0.454545
12,4,1,0.688312
12,4,2,0.876623
12,4,3,0.961039
12,5,0,0.474026
12,5,1,0.733766
12,5,2,0.87013
12,5,3,0.980519
12,6,0,0.512987
12,6,1,0.792208
12,6,2,0.915584
12,6,3,1
12,7,0,0.545455
12,7,1,0.811688
12,7,2,0.928571
12,7,3,1
12,8,0,0.571429
12,8,1,0.824675
12,8,2,0.928571
12,8,3,1
12,9,0,0.584416
12,9,1,0.811688
12,9,2,0.935065
12,9,3,1
12,10,0,0.590909
12,10,1,0.837662
12,10,2,0.941558
12,10,3,1
12,11,0,0.61039
12,11,1,0.863636
12,11,2,0.948052
12,11,3,1
12,12,0,0.623377
12,12,1,0.902597
12,12,2,0.961039
12,12,3,1
