minbound,shape,unit
-90,29,6
0,7,6
-6,26,6

IX,IY,IZ,value
0,0,0,False
0,0,1,False
0,0,2,False
0,0,3,False
0,0,4,False
0,0,5,False
0,0,6,False
0,0,7,False
0,0,8,False
0,0,9,False
0,0,10,False
0,0,11,False
0,0,12,False
0,0,13,False
0,0,14,False
0,0,15,False
0,0,16,False
0,0,17,False
0,0,18,False
0,0,19,False
0,0,20,False
0,0,21,False
0,0,22,False
0,0,23,False
0,0,24,False
0,0,25,False
0,1,0,False
0,1,1,False
0,1,2,False
0,1,3,False
0,1,4,False
0,1,5,False
0,1,6,False
0,1,7,False
0,1,8,False
0,1,9,False
0,1,10,False
0,1,11,False
0,1,12,False
0,1,13,False
0,1,14,False
0,1,15,False
0,1,16,False
0,1,17,False
0,1,18,False
0,1,19,False
0,1,20,False
0,1,21,False
0,1,22,False
0,1,23,False
0,1,24,False
0,1,25,False
0,2,0,False
0,2,1,False
0,2,2,False
0,2,3,False
0,2,4,False
0,2,5,False
0,2,6,False
0,2,7,False
0,2,8,False
0,2,9,False
0,2,10,False
0,2,11,False
0,2,12,False
0,2,13,False
0,2,14,False
0,2,15,False
0,2,16,False
0,2,17,False
0,2,18,False
0,2,19,False
0,2,20,False
0,2,21,False
0,2,22,False
0,2,23,False
0,2,24,False
0,2,25,False
0,3,0,False
0,3,1,False
0,3,2,False
0,3,3,False
0,3,4,False
0,3,5,False
0,3,6,False
0,3,7,False
0,3,8,False
0,3,9,False
0,3,10,False
0,3,11,False
0,3,12,False
0,3,13,False
0,3,14,False
0,3,15,False
0,3,16,False
0,3,17,False
0,3,18,False
0,3,19,False
0,3,20,False
0,3,21,False
0,3,22,False
0,3,23,False
0,3,24,False
0,3,25,False
0,4,0,False
0,4,1,False
0,4,2,False
0,4,3,False
0,4,4,False
0,4,5,False
0,4,6,False
0,4,7,False
0,4,8,False
0,4,9,False
0,4,10,False
0,4,11,False
0,4,12,False
0,4,13,False
0,4,14,False
0,4,15,False
0,4,16,False
0,4,17,False
0,4,18,False
